TweetDate,TweetURL,MediaURL,SavedFilename,TweetContent,Replies,Retweets,Likes
2020/01/01 23:43:11,https://twitter.com/rodyoki/status/1212564967725117440,https://pbs.twimg.com/media/ENPlZNUWoAExrzW?format=png&name=orig,rodyoki-1212564967725117440-20200101_234311-img1.png,"Hola gentes y gentas. Me desaparecí unos días para reflexionar unas cosas, entre ellas el futuro de esta cuenta. Pero no se preocupen que volveré pronto, he dibujado un montón estas semanas y postearé unas cosillas en los próximos días. Ah, y felices pascuas. https://t.co/qPr0qoFS1L",2,1,12,
2020/01/01 23:43:11,https://twitter.com/rodyoki/status/1212564967725117440,https://pbs.twimg.com/media/ENPlZNdX0AISYtZ?format=jpg&name=orig,rodyoki-1212564967725117440-20200101_234311-img2.jpg,"Hola gentes y gentas. Me desaparecí unos días para reflexionar unas cosas, entre ellas el futuro de esta cuenta. Pero no se preocupen que volveré pronto, he dibujado un montón estas semanas y postearé unas cosillas en los próximos días. Ah, y felices pascuas. https://t.co/qPr0qoFS1L",2,1,12,
2020/01/01 23:43:11,https://twitter.com/rodyoki/status/1212564967725117440,https://pbs.twimg.com/media/ENPlZNUWwAAqOXE?format=jpg&name=orig,rodyoki-1212564967725117440-20200101_234311-img3.jpg,"Hola gentes y gentas. Me desaparecí unos días para reflexionar unas cosas, entre ellas el futuro de esta cuenta. Pero no se preocupen que volveré pronto, he dibujado un montón estas semanas y postearé unas cosillas en los próximos días. Ah, y felices pascuas. https://t.co/qPr0qoFS1L",2,1,12,
2020/01/01 23:43:11,https://twitter.com/rodyoki/status/1212564967725117440,https://pbs.twimg.com/media/ENPlZNUWoAAPrhp?format=jpg&name=orig,rodyoki-1212564967725117440-20200101_234311-img4.jpg,"Hola gentes y gentas. Me desaparecí unos días para reflexionar unas cosas, entre ellas el futuro de esta cuenta. Pero no se preocupen que volveré pronto, he dibujado un montón estas semanas y postearé unas cosillas en los próximos días. Ah, y felices pascuas. https://t.co/qPr0qoFS1L",2,1,12,
2019/12/11 16:37:13,https://twitter.com/rodyoki/status/1204847623968083970,https://pbs.twimg.com/media/ELh6hAkXsAAtHrw?format=jpg&name=orig,rodyoki-1204847623968083970-20191211_163713-img1.jpg,I like to play with the layer properties digitalart https://t.co/Xk1iTREJ0n,2,4,19,
2019/12/11 16:37:13,https://twitter.com/rodyoki/status/1204847623968083970,https://pbs.twimg.com/media/ELh6hAlWwAEikXs?format=jpg&name=orig,rodyoki-1204847623968083970-20191211_163713-img2.jpg,I like to play with the layer properties digitalart https://t.co/Xk1iTREJ0n,2,4,19,
2019/12/11 16:37:13,https://twitter.com/rodyoki/status/1204847623968083970,https://pbs.twimg.com/media/ELh6hAkXsAIvBBk?format=jpg&name=orig,rodyoki-1204847623968083970-20191211_163713-img3.jpg,I like to play with the layer properties digitalart https://t.co/Xk1iTREJ0n,2,4,19,
2019/12/07 23:16:53,https://twitter.com/rodyoki/status/1203498652523794433,https://pbs.twimg.com/media/ELOvonDXYAA8Wt1?format=jpg&name=orig,rodyoki-1203498652523794433-20191207_231653-img1.jpg,sum demo TF2 digitalart https://t.co/lgy6BNI07g,1,9,39,
2019/12/07 23:16:53,https://twitter.com/rodyoki/status/1203498652523794433,https://pbs.twimg.com/media/ELOvonGWkAADo8z?format=jpg&name=orig,rodyoki-1203498652523794433-20191207_231653-img2.jpg,sum demo TF2 digitalart https://t.co/lgy6BNI07g,1,9,39,
2019/12/06 19:33:55,https://twitter.com/rodyoki/status/1203080151963230211,https://pbs.twimg.com/media/ELIzADtWwAEj5S3?format=jpg&name=orig,rodyoki-1203080151963230211-20191206_193355-img1.jpg,demo wip https://t.co/tRWzIVmup6,2,9,29,
2019/12/05 22:51:41,https://twitter.com/rodyoki/status/1202767533620813826,https://pbs.twimg.com/media/ELEWrydX0AE7wdO?format=jpg&name=orig,rodyoki-1202767533620813826-20191205_225141-img1.jpg,practicing portraits digitalart https://t.co/IiuOPlwo3i,2,12,34,
2019/12/04 23:42:41,https://twitter.com/rodyoki/status/1202417980430307329,https://pbs.twimg.com/media/EK_YxzpXkAAHV2c?format=png&name=orig,rodyoki-1202417980430307329-20191204_234241-img1.png,Was trying to get an animation going but I`m just gonna move on to other things for now https://t.co/AvEinhKSwO,,2,10,
